-14.46 m/s -0.0293m^3/s 485.76 bits 2.37 Volts         100.50 kPa 68.22F 
-24.88 m/s -0.0504m^3/s 435.23 bits 2.13 Volts         100.50 kPa 68.34F 
-29.02 m/s -0.0588m^3/s 407.79 bits 1.99 Volts         100.50 kPa 68.34F 
-31.32 m/s -0.0635m^3/s 390.67 bits 1.91 Volts         100.50 kPa 68.34F 
-32.42 m/s -0.0657m^3/s 382.01 bits 1.87 Volts         100.50 kPa 68.34F 
-32.86 m/s -0.0666m^3/s 378.54 bits 1.85 Volts         100.50 kPa 68.34F 
-33.04 m/s -0.0670m^3/s 377.05 bits 1.84 Volts         100.50 kPa 68.34F 
-33.55 m/s -0.0680m^3/s 372.89 bits 1.82 Volts         100.50 kPa 68.34F 
-33.55 m/s -0.0680m^3/s 372.87 bits 1.82 Volts         100.50 kPa 68.34F 
-33.28 m/s -0.0675m^3/s 375.07 bits 1.83 Volts         100.50 kPa 68.34F 
-33.40 m/s -0.0677m^3/s 374.11 bits 1.83 Volts         100.50 kPa 68.34F 
-33.52 m/s -0.0679m^3/s 373.10 bits 1.82 Volts         100.50 kPa 68.34F 
-33.40 m/s -0.0677m^3/s 374.06 bits 1.83 Volts         100.50 kPa 68.34F 
-33.29 m/s -0.0675m^3/s 374.97 bits 1.83 Volts         100.50 kPa 68.34F 
-33.63 m/s -0.0682m^3/s 372.18 bits 1.82 Volts         100.50 kPa 68.34F 
-33.56 m/s -0.0680m^3/s 372.79 bits 1.82 Volts         100.51 kPa 68.34F 
-33.47 m/s -0.0678m^3/s 373.54 bits 1.83 Volts         100.50 kPa 68.34F 
-33.26 m/s -0.0674m^3/s 375.23 bits 1.83 Volts         100.50 kPa 68.34F 
-33.56 m/s -0.0680m^3/s 372.77 bits 1.82 Volts         100.50 kPa 68.34F 
-33.28 m/s -0.0675m^3/s 375.08 bits 1.83 Volts         100.50 kPa 68.34F 
-33.48 m/s -0.0679m^3/s 373.42 bits 1.83 Volts         100.50 kPa 68.34F 
-33.19 m/s -0.0673m^3/s 375.85 bits 1.84 Volts         100.50 kPa 68.34F 
-33.40 m/s -0.0677m^3/s 374.11 bits 1.83 Volts         100.50 kPa 68.34F 
-33.37 m/s -0.0676m^3/s 374.33 bits 1.83 Volts         100.50 kPa 68.34F 
-33.61 m/s -0.0681m^3/s 372.40 bits 1.82 Volts         100.50 kPa 68.34F 
-33.46 m/s -0.0678m^3/s 373.57 bits 1.83 Volts         100.50 kPa 68.34F 
-33.52 m/s -0.0679m^3/s 373.07 bits 1.82 Volts         100.50 kPa 68.34F 
-33.41 m/s -0.0677m^3/s 373.99 bits 1.83 Volts         100.50 kPa 68.34F 
-33.70 m/s -0.0683m^3/s 371.65 bits 1.82 Volts         100.50 kPa 68.34F 
-33.53 m/s -0.0680m^3/s 373.00 bits 1.82 Volts         100.50 kPa 68.34F 
-33.34 m/s -0.0676m^3/s 374.59 bits 1.83 Volts         100.50 kPa 68.34F 
-33.64 m/s -0.0682m^3/s 372.13 bits 1.82 Volts         100.50 kPa 68.34F 
-33.48 m/s -0.0679m^3/s 373.46 bits 1.83 Volts         100.50 kPa 68.34F 
-33.28 m/s -0.0675m^3/s 375.04 bits 1.83 Volts         100.50 kPa 68.34F 
