ı-15.41 m/s -0.0312m^3/s 482.27 bits 2.36 Volts         100.49 kPa 68.22F 
-25.02 m/s -0.0507m^3/s 434.42 bits 2.12 Volts         100.50 kPa 68.34F 
-29.69 m/s -0.0602m^3/s 402.94 bits 1.97 Volts         100.50 kPa 68.34F 
-31.84 m/s -0.0645m^3/s 386.64 bits 1.89 Volts         100.50 kPa 68.34F 
-32.91 m/s -0.0667m^3/s 378.06 bits 1.85 Volts         100.50 kPa 68.34F 
-33.23 m/s -0.0674m^3/s 375.48 bits 1.84 Volts         100.50 kPa 68.34F 
-33.86 m/s -0.0686m^3/s 370.27 bits 1.81 Volts         100.50 kPa 68.34F 
-33.66 m/s -0.0682m^3/s 371.92 bits 1.82 Volts         100.50 kPa 68.34F 
-33.73 m/s -0.0684m^3/s 371.41 bits 1.82 Volts         100.49 kPa 68.34F 
-33.73 m/s -0.0684m^3/s 371.40 bits 1.82 Volts         100.49 kPa 68.34F 
-34.05 m/s -0.0690m^3/s 368.72 bits 1.80 Volts         100.50 kPa 68.34F 
-34.16 m/s -0.0692m^3/s 367.73 bits 1.80 Volts         100.50 kPa 68.45F 
-36.78 m/s -0.0745m^3/s 344.89 bits 1.69 Volts         100.51 kPa 68.79F 
-33.58 m/s -0.0681m^3/s 372.62 bits 1.82 Volts         100.51 kPa 69.12F 
-33.65 m/s -0.0682m^3/s 372.04 bits 1.82 Volts         100.52 kPa 69.46F 
-33.81 m/s -0.0685m^3/s 370.71 bits 1.81 Volts         100.51 kPa 69.57F 
-34.07 m/s -0.0690m^3/s 368.55 bits 1.80 Volts         100.52 kPa 69.69F 
-34.23 m/s -0.0694m^3/s 367.17 bits 1.79 Volts         100.52 kPa 69.80F 
-33.92 m/s -0.0687m^3/s 369.80 bits 1.81 Volts         100.52 kPa 69.80F 
-33.59 m/s -0.0681m^3/s 372.55 bits 1.82 Volts         100.52 kPa 69.80F 
-34.00 m/s -0.0689m^3/s 369.10 bits 1.80 Volts         100.52 kPa 69.91F 
-34.31 m/s -0.0695m^3/s 366.48 bits 1.79 Volts         100.52 kPa 69.91F 
-34.27 m/s -0.0695m^3/s 366.84 bits 1.79 Volts         100.52 kPa 70.02F 
-34.78 m/s -0.0705m^3/s 362.50 bits 1.77 Volts         100.53 kPa 70.02F 
-34.60 m/s -0.0701m^3/s 364.07 bits 1.78 Volts         100.52 kPa 70.02F 
-32.38 m/s -0.0656m^3/s 382.35 bits 1.87 Volts         100.52 kPa 69.91F 
-33.45 m/s -0.0678m^3/s 373.66 bits 1.83 Volts         100.51 kPa 69.80F 
